"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"No",13217298,0.00219649,2,0.0165289,26.04,-9.13,-4.26448,1,25.4098,-17,19.01477,1.71,0,305,618,0.106611,2.846,0.041404,0.76,0.36117,97.6,-1.027422807,2.23,22,0.181818,0.000248975,1.15957,15,0.306723,9
"No",3446079,0.00039936,3,0.0176471,11.16,-12.16,-4.56034,33906,36.8421,-40,43.13511,3.29,-32.67,3275,10127,0.108648,2.876,0.0488142,0.544,0.46866,52.5748,-1.039626316,2.76,32,0.188235,3.68681E-05,1.12508,18,2.73494,35
"No",137230102,0.00701736,7,0.0603448,37.41,-9.14,-5.30857,1,71.7949,-57.3,58.37813,2.34,0,439,9481,-0.802389,1.233,0.00100659,0.052,0.3656,99.7,-1.717331569,1.62,36,0.310345,0.00111361,5.53583,82,2.13199,41
"No",46344485,0.0604177,7,0.0402299,10.19,-11.48,-5.61531,3037,44.5714,-37.7,42.4847,9.36,-133.56,367,1181,0.0690426,0.335,0.201649,0.738,0.40433,1.27082,-0.05945762712,0.256,46,0.264368,0.00890646,0.375597,5,0.919626,0
"No",30814523,0.0014128,3,0.030303,8.09,-11.84,-5.3025,42,57,-25.6,27.2446,7.59,-244.81,42,173,-0.0255303,0.365,0.014814,0.042,0.3523,0.644326,-0.2700571429,0.45,15,0.151515,0.000212461,0.573034,4,1.29248,0
"No",87435317,"NA","NA","NA",18.18,-18.59,-4.64375,2,38.1818,-12.2,14.38082,"NA",0,58,355,-0.0711133,1.598,0.00310443,0.023,0.34246,96.1,-0.4685953488,1.63,24,0.220183,0.00116225,4.40075,21,3.36039,16
"No",77639923,0.00571086,4,0.0314961,42.06,-11.02,-4.61111,1,50,-25.8,28.41584,2.97,0,33,1157,-0.157372,3.271,0.0229965,0.983,0.38159,97.8,-1.547383333,2.76,27,0.212598,0.000938689,5.53318,11,1.65235,41
"No",68992239,0.184405,2,0.0175439,13.02,-24.97,-8.07281,1,51.3043,-21.8,25.87723,5.93,-58.76,6,459,-0.245958,0.887,0.00138854,0.017,0.34769,90.5102,-0.50953,0.487,29,0.254386,0.0109399,0.587211,4,0.767385,11
"No",1963075,0.00071885,5,0.037594,16.77,-14.2,-6.404,3,65.6716,-51,52.94946,1.96,0,2675,11228,-0.593986,1.52,0.000743697,0.03,0.39829,99.5,-1.644637603,1.51,4,0.0300752,0,4.60182,27,12.672,171
"No",96423092,0.000832002,5,0.026455,27.78,-11.19,-4.56382,1,30.5263,-27,31.21955,4.65,0,74,330,0.242039,2.391,0.148991,0.849,0.36311,99.75,-0.8345530815,1.69,40,0.21164,0.000147831,0.715159,12,0.273233,6
"No",88869245,0.600639,1,0.016129,9.52,-5.25,-2.35125,"NA",7.93651,-16.4,17.36382,4.53,-5.57,1659,4343,-0.290968,1.569,0.00104839,0.015,0.22328,10.487,-1.745387755,2.75,479,7.72581,0.00335173,414.85,47,62.2682,15
"No",143714050,0.0029952,2,0.0224719,11.73,-14.79,-6.33963,118703,47.7778,-19.8,20.932,6.98,-23.63,118,2019,0.0173235,0.618,0.0314921,0.16,0.39962,30.3016,-0.3580972222,0.563,15,0.168539,8.85047E-05,0.84106,9,2.12402,5
"No",49818068,0.0385259,16,0.0277296,17.41,-23.41,-8.86,1,61.9377,-234.9,244.8498,20.51,-129.73,39,122,1.29762,8.209,0.427376,1,0.42866,99.5232,-1.120856166,2.13,181,0.313692,0.00280655,4.30191,331,12.9882,1055
"No",23442039,0.0145101,3,0.0714286,5.91,-11.45,-3.89591,3,37.2093,-8.8,10.13528,8.16,-124.11,258,1604,0.0525952,0.28,0.074881,0.138,0.36047,1.55278,-0.061,0.183,10,0.238095,0.00443058,3.28012,25,6.36317,4
"No",30417892,0.000199681,2,0.020202,38.3,-7.41,-3.41733,1,35,-24.1,26.23122,4.02,0,151,415,0.193245,2.834,0.0647911,0.43,0.34081,98.9,-1.021116042,2.32,23,0.232323,5.76643E-05,0.603886,15,1.73218,2
"No",112936315,0.000266241,3,0.030303,11.86,-10.38,-4.71219,104449,49,-22.4,24.50161,4.11,-18.47,98,238,0.0605897,0.865,0.0274822,0.226,0.32771,22.3325,-0.1766415094,0.413,18,0.181818,1.97662E-05,60.3263,101,102.861,15
"No",136206552,0.184505,2,0.0196078,36.66,-21.21,-6.13917,1,45.6311,-19.8,22.35264,4.46,0,706,1470,-0.227734,2.698,0.00225231,0.057,0.37971,99,-2.588123711,1.93,12,0.117647,0.0303933,0.458706,12,0.316254,9
"No",181799930,0.000199681,2,0.027027,43.66,-17.15,-4.99889,1,54.6667,-20.1,21.5674,4.71,0,347,1827,0.412118,3.787,0.187434,0.992,0.46547,97.95,-1.497861644,2.06,13,0.175676,1.39592E-05,4.87639,12,2.44961,0
"No",38971374,0.122376,5,0.0271739,4.41,-14.03,-6.99594,1,60,-69.1,71.15525,12.47,-334.04,86,559,0.00723945,0.228,0.110712,0.29,0.38655,68.3583,-0.08162676056,0.191,37,0.201087,0.0211986,0.583946,2,0.720967,23
"No",70447260,0.00073216,3,0.0241935,43.2,-8.85,-4.59407,1,32,-8.1,12.3211,5.79,0,337,5403,1.32674,5.153,0.680105,1,0.36965,98.85,0.144134386,2.4,22,0.177419,7.3625E-05,0.80074,17,14.0501,526
"No",14562024,0.00991747,9,0.0508475,32.66,-14.55,-5.81853,2,41.0112,-40.5,43.89033,4.33,0,817,2978,-0.0299579,2.62,0.00675407,0.163,0.38199,97.9,-1.330713529,1.9,58,0.327684,0.0018306,1.83786,21,0.103547,4
"No",142943885,0.000199681,1,0.00581395,33.38,-10.42,-4.44375,1,26.0116,-23.6,27.70815,2.07,0,26,304,0.0868129,2.575,0.0156043,0.4,0.33692,98.25,-1.087314,2.49,24,0.139535,1.91975E-05,0.287135,19,0.657378,2
"No",96751904,0.00289537,2,0.02,10.17,-11.25,-5.04379,1,31.6832,-6.7,9.502071,4,-4.63,62,4424,0.0699929,0.66,0.0262488,0.124,0.41774,19.8331,-0.1414565217,0.284,22,0.22,0.000173899,1.29197,2,0.485815,2
"No",76637630,0.0204415,6,0.0359281,"NA",-23.47,-5.44437,10878,42.2619,-35,38.43629,"NA",-1570.3,326,1139,"NA","NA","NA","NA",0.41963,"NA","NA","NA",51,0.305389,0.00249971,4.23365,4,1.76524,3
"No",116689284,0.0364132,14,0.027833,49.69,-12.55,-6.97121,1,38.2937,-109.8,119.0067,4.34,-17.6,9,176,1.1957,5.939,0.436289,1,0.31215,34.4823,-0.7113498915,4.11,116,0.230616,0.00516481,4.10738,93,1.41373,46
"No",51928950,0.000199681,4,0.0218579,28.06,-10.5,-5.30633,1,33.6957,-30.4,35.03608,3.01,0,148,420,-0.12224,2.025,0.00617502,0.482,0.39382,95.2,-0.5425407186,1.24,33,0.180328,2.05242E-05,1.73843,14,1.65989,38
"No",27042811,0.000199681,2,0.0116959,41.24,-10.68,-4.74786,1,30.814,-19.7,25.19695,5.81,0,72,1252,0.310393,3.395,0.0798999,0.856,0.33596,95.65,-1.294586228,2.4,30,0.175439,2.49029E-05,3.21142,20,0.582108,10
"No",205435871,0.000798723,4,0.0215054,45.37,-11.93,-6.13545,1,50.8021,-57.5,60.09037,3.89,-3.98,209,1846,1.46981,5.852,0.602241,1,0.43272,4.60403,-0.1899525714,2.95,37,0.198925,8.14984E-05,1.70182,29,2.15055,38
"No",146894117,0.00059904,2,0.0224719,32.26,-10.77,-5.05,1,44.4444,-13.7,16.26657,3.84,0,53,285,-0.00622274,2.088,0.00376999,0.052,0.44291,99.8,-0.3215492958,0.715,20,0.224719,2.47711E-05,13.0975,18,1.26015,3
"No",48978265,0.0090855,2,0.0246914,57.79,-10.07,-4.19652,1,78.0488,-39.8,40.64146,2.94,0,119,4900,0.824923,4.708,0.479411,1,0.31119,94.65,0.399983871,1.98,21,0.259259,0.0022055,0.969347,1,2.70811,5
"No",149567315,"NA","NA","NA",30.15,-7.67,-3.194,1,23.2558,-5.1,5.619495,2.76,0,214,650,0.583071,3.233,0.256024,0.917,0.34181,99.45,-0.5083,2.05,7,0.166667,3.98809E-05,3.35157,40,3.33529,38
