"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"No",95130179,6.65603E-05,1,0.0113636,"NA",-17.86,-6.66968,421,42.6966,-11.7,13.79822,15.76,-623.33,371,1256,0.0797433,0.123,0.379229,0.529,0.35025,"NA",-0.015,0.0525,20,0.227273,1.53615E-05,2.01626,16,1.08016,4
"No",178516314,0.00119808,1,0.00819672,31.43,-12.04,-5.34667,1,31.7073,-16.4,19.92244,6.29,0,6,100,0.10267,3.136,0.036298,0.584,0.44077,93.8,-1.457880342,2.25,27,0.221311,7.47015E-05,1.34311,13,0.11696,2
"No",73056137,0,"NA","NA",29.69,-11.21,-5.25889,1,31.1688,-11.6,15.91453,2.49,0,439,898,0.136284,2.003,0.0111238,0.235,0.33713,98.4,-0.6539174834,1.96,20,0.130719,1.67502E-05,9.78176,76,6.01593,153
"No",105505107,0.0742623,50,0.0338753,7.15,-18.73,-10.1091,447973,53.5545,-561.7,"NA",9.18,-492.7,9,840,-0.0812218,1.826,0.0294869,0.828,0.33427,43.627,-0.1137955357,0.387,433,0.29336,0.00833912,0.0720108,7,0.0752425,11
"No",55831267,0.00199681,1,0.0111111,22.91,-14.06,-5.19935,1,40.6593,-12.7,14.95543,4.59,0,249,505,0.109955,1.669,0.00364608,0.032,0.37403,97.8,-0.4960365854,1.12,18,0.2,4.14838E-05,1.27079,20,1.04043,6
"No",27803704,0.026472,7,0.0180412,6.4,-13.5,-7.31706,38,39.8458,-94.1,101.4641,8.71,-82.85,190,397,0.0185267,1.708,0.040156,0.419,0.49316,91.4501,-0.1476656634,2.28,63,0.162371,0.00268954,3.02985,5,5.29397,7
"No",47948189,"NA","NA","NA","NA",-5.15,-2.25857,0,23.8095,0,0.7188467,10.63,-219.31,419,885,-0.1909,0.123,0.02855,0.073,0.36789,"NA","NA","NA",7,0.35,6.22981E-05,9.09765,0,8.11545,0
"No",68883722,0.000199681,1,0.00591716,4.76,-15.61,-7.46219,45074,50,-51.5,54.25909,4.97,-47.76,80,292,-0.0632875,0.661,0.0169199,0.119,0.37587,61.7286,-0.1230689655,0.288,31,0.183432,1.75694E-05,0.405447,10,1.92401,61
"No",147858509,0.011222,5,0.0247525,37,-11.37,-5.59727,1,36.9458,-37.6,42.13532,4.63,-0.23,697,2184,0.049926,2.841,0.0303063,0.466,0.37216,2.62204,-0.8157903553,1.56,40,0.19802,0.00127537,1.08091,35,1.70375,51
"No",138926,0.00029952,5,0.1,11.79,-14.83,-4.40667,3,58.8235,-14.5,14.76981,8.08,-0.05,243,4390,-0.06978,2.437,0.00672,0.028,0.44446,3.4689,"NA","NA",11,0.22,0.00086805,1.88181,2,5.21132,5
"No",15407504,0.00329473,2,0.0212766,20.95,-10.57,-5.85789,1,47.3684,-23.4,25.19535,1.83,0,538,1380,0.0276981,1.199,0.00775188,0.204,0.36071,99,-0.5234804598,0.985,15,0.159574,0.000409956,15.1176,57,12.1614,75
"No",111300551,"NA","NA","NA",35.93,-10.86,-5.19061,1,48.913,-18.3,20.55673,3.39,0,41,350,-0.286479,1.838,0.00410052,0.21,0.40883,96.8,-1.7542,1.62,22,0.241758,3.96561E-05,5.12582,56,15.6487,84
"No",96215524,0.0189696,1,0.0217391,26.91,-11.71,-5.76,1,55.3191,-14.9,15.43444,8.17,0,31,336,-0.0316087,1.836,0.00986957,0.079,0.35997,97.7,-0.6880609756,1.41,7,0.152174,0.00246313,2.53246,7,0.680565,8
"No",101761547,0.175519,3,0.0352941,25.67,-13.38,-5.86957,1,56.9767,-16.3,18.08388,3.08,0,547,2898,-0.374236,2.858,0.00113253,0.051,0.42385,99.1,-1.876986301,1.36,26,0.305882,0.0211323,1.07292,3,4.19985,3
"No",70377875,0.000332801,2,0.0307692,2.98,-11.02,-6.00391,12170,37.8788,-4.1,5.589068,12.33,-320.27,93,816,0.0224769,0.123,0.227938,0.359,0.31574,0.266004,-0.02195,0.0439,21,0.323077,7.87881E-05,1.01948,12,0.71292,2
"No",124005183,0.0402556,5,0.0480769,42.98,-6.12,-3.44867,1,25.7143,-11.7,14.2169,4.83,0,9,924,-0.0429344,2.847,0.0248258,0.491,0.36746,99.05,-0.01544519231,5.61,26,0.25,0.00608754,0.224942,5,0.154736,4
"No",65900514,0.000912824,6,0.0582524,33.73,-9.35,-5.54812,1,50.9615,-25.5,28.4531,7.4,-0.24,81,642,-0.0712858,1.661,0.00120731,0.072,0.29193,5.77366,-0.8923147368,1.34,30,0.291262,0.000211101,0.390469,4,0.181885,2
"No",68111345,0.000199681,1,0.01,32.45,-12.94,-5.73069,1,54.4554,-25.1,27.61256,1.36,0,72,419,-0.164459,2.923,0.00118588,0.051,0.44497,97.65,-1.436494949,1.99,22,0.22,1.2701E-05,1.28597,15,1.03716,24
"No",39711429,"NA","NA","NA",15.52,-9.87,-4.6287,1,37.6623,-6.3,8.513687,3.88,-1.08,31,2596,-0.173729,1.012,0.00176084,0.009,0.38446,4.78342,-0.9385486441,0.938,15,0.197368,1.25671E-05,1.03039,4,2.26884,0
"No",141030501,0.0918466,28,0.0330969,"NA",-17.9,-8.20353,499,40.0236,-210.2,230.2522,9.82,-459.7,257,660,0.156454,1.953,0.141824,0.993,0.32285,"NA",-0.6218830387,1.76,225,0.265957,0.012762,0.11061,12,0.0534856,3
"No",144491522,0.23747,4,0.121212,9.93,-9.18,-5.35591,1,58.8235,-5.7,6.537447,5.51,-28.04,177,632,-0.185545,0.452,0.007,0.017,0.26809,36.6189,-0.1111875,0.361,8,0.242424,0.123695,16.1485,8,49.7885,10
"No",82333003,0.0019968,4,0.012945,9.3,-16.27,-6.88412,122,38.3871,-67.5,74.06302,5.59,-64.95,34,314,0.0713173,1.834,0.027294,0.419,0.46523,91.9868,-0.3098371681,0.789,66,0.213592,0.000178527,0.433282,16,0.303143,12
"No",9629357,0.00339458,5,0.0337838,7.46,-16.18,-5.5029,15785,51.6779,-49.7,52.56902,28.78,-377.65,219,4034,0.0398098,0.229,0.136285,0.622,0.45078,0.644202,-0.06256521739,0.19,32,0.216216,0.000107029,0.601596,18,2.26333,2
