"Functional","Start","aveMAF","1000G_SNPs","1000G_SNPsDensity","Max_covariance","InteractionMIN","InteractionAVE","Genome_copy_number","GC_percentage","MFE","Accessibility","RNAcode_score","RNAalifold_score","Dfam_min_distance","Dfam_sum_distance","MeanPhyloP","MaxPhyloP","MeanPhastCons","MaxPhastCons","Fickett_score","Min_Cov_Eval","mammals_mean_gerp","mammals_max_gerp","gnomAD_SNP_count","gnomAD_SNP_density","gnomAD_avg_MAF","RPKM_tissue","MRD_tissue","RPKM_primary_cell","MRD_primary_cell"
"Yes",28764386,0.0241282,5,0.0649351,12.91,-19.97,-4.11882,34087,50.6494,-17.4,19.32684,4.6,-19.71,368,1029,0.116833,0.552,0.335536,0.544,0.4407,32.2658,-0.14875,0.286,46,0.597403,0.00314272,51.6096,20,239.232,1
"Yes",20610131,0.000875523,13,0.158537,21.87,-19.11,-4.05063,64253,64.6341,-35.1,36.3926,3.35,-34.83,358,1083,1.97857,3.37,0.834191,1,0.34807,9.21276,1.853809524,2.39,104,1.26829,0.000110011,299.187,1297,5906.84,8000
"Yes",25197575,0.00272897,6,0.0740741,18.54,-17.41,-4.29509,62596,43.2099,-15.4,17.12445,3.65,-9.98,22729,77344,0.192552,1.734,0.273517,0.839,0.42355,16.7691,-0.6904487179,1.68,21,0.259259,0.0012541,5727.9,8016,3.42295,44
"Yes",49278944,0.00239617,1,0.0126582,22.8,-21.48,-4.10637,1094,36.7089,-9.2,10.73306,4.57,-3.51,321,1357,1.88195,4.999,0.686658,1,0.39631,5.58765,-0.3153454545,3.03,24,0.303797,9.24371E-05,12167.9,8038,147856,8025
"Yes",27777884,0.0276788,11,0.152778,20.16,-16.03,-4.03268,62265,58.3333,-30.3,30.76373,4.45,-28.92,71,335,0.991015,1.64,0.943828,1,0.4229,18.066,1.643408163,2.42,109,1.51389,0.00339561,36075.6,8015,53371.3,8032
"Yes",148038752,"NA","NA","NA",9.84,-18.6,-4.14134,1440,54.878,-59.1,62.06829,7.8,-39.16,410,909,0.227544,0.689,0.186886,0.589,0.40626,38.9494,"NA","NA",264,1.60976,0.00104403,8860.73,8022,24903.5,8015
"Yes",186787612,0.000439296,5,0.0364964,51.44,-17.55,-4.30616,1085,42.3358,-41.4,43.02847,4.62,-14.87,123,3576,1.54133,7.402,0.58043,1,0.44328,10.8551,-0.2855146552,2.34,46,0.335766,6.80159E-05,129.368,349,7206.07,8033
"Yes",2656096,0.000199681,2,0.0232558,62.35,-16.28,-4.15545,824,58.1395,-31.2,33.03529,3.13,0,2987,8020,2.35239,8.974,0.815489,1,0.26567,99.4,1.820791667,4.16,24,0.27907,1.54155E-05,19.5205,278,271.624,8030
"Yes",47939540,0.099541,2,0.0166667,"NA",-13.46,-3.88981,219,58.3333,-58.9,60.8787,"NA",-331.6,97,267,"NA","NA","NA","NA",0.43793,"NA",-0.07921527778,0.182,273,2.275,0.00122745,52.6464,235,404.888,49
"Yes",112161484,0.0192492,3,0.0225564,34.07,-11.38,-3.57088,67,40.6015,-44.3,45.64649,1.98,-23.68,535,1547,1.31463,5.881,0.455772,1,0.42391,32.6762,-0.07033747475,2.59,32,0.240602,0.00403687,21.1901,563,282.54,8000
"Yes",25041973,0.000199681,1,0.0149254,20.33,-12.9,-3.97729,91,46.2687,-16.3,17.14376,2.99,-19.32,197,902,1.55681,2.706,0.903896,1,0.3853,15.094,0.2132310417,1.89,9,0.134328,1.24102E-05,20838.1,8031,53.8348,174
"Yes",206162227,0.000199681,3,0.0227273,13.39,-16.15,-4.1937,53,42.4242,-41.5,44.00287,1.86,-37.6,707,4855,1.90214,7.533,0.677873,1,0.44698,35.1082,0.4627089189,3.43,27,0.204545,3.02439E-05,63.1916,389,7084.46,8056
